
AP@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
lymphoma                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
lysosomal storage diseases                 | 0.002 +/- 0.002  | 0.0000 +/- 0.0000 | 0.010 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0058 +/- 0.0007 | 0.002 +/- 0.002  | 0.008 +/- 0.008  | 0.02 +/- 0.01   
macular degeneration                       | 0.0000 +/- 0.0000 | 0.044 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0041 +/- 0.0002 | 0.038 +/- 0.008  | 0.0000 +/- 0.0000
metabolic syndrome x                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.03 +/- 0.03   
motor neuron disease                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
multiple sclerosis                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
muscular dystrophies                       | 0.0000 +/- 0.0000 | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.01 +/- 0.01    | 0.01 +/- 0.01    | 0.03 +/- 0.03    | 0.02 +/- 0.02   
mycobacterium infections                   | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.004 +/- 0.004  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.005 +/- 0.005 
myeloproliferative disorders               | 0.04 +/- 0.03    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0167 +/- 0.0000 | 0.0154 +/- 0.0000 | 0.0167 +/- 0.0000 | 0.05 +/- 0.01    | 0.0000 +/- 0.0000
nutritional and metabolic diseases         | 0.015 +/- 0.009  | 0.0000 +/- 0.0000 | 0.02 +/- 0.01    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.005 +/- 0.005  | 0.004 +/- 0.004  | 0.08 +/- 0.06    | 0.02 +/- 0.01    | 0.02 +/- 0.01   
peroxisomal disorders                      | 0.3 +/- 0.1      | 0.2 +/- 0.1      | 0.3 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.12 +/- 0.08    | 0.22 +/- 0.09    | 0.25 +/- 0.04    | 0.45 +/- 0.02    | 0.3 +/- 0.2     
psoriasis                                  | 0.01 +/- 0.01    | 0.0000 +/- 0.0000 | 0.004 +/- 0.004  | 0.005 +/- 0.005  | 0.006 +/- 0.006  | 0.002 +/- 0.002  | 0.003 +/- 0.003  | 0.04 +/- 0.04    | 0.003 +/- 0.003  | 0.003 +/- 0.003 
purine-pyrimidine metabolism inborn errors | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
renal tubular transport inborn errors      | 0.007 +/- 0.007  | 0.08 +/- 0.08    | 0.08 +/- 0.08    | 0.08 +/- 0.08    | 0.08 +/- 0.08    | 0.09 +/- 0.09    | 0.09 +/- 0.08    | 0.1 +/- 0.1      | 0.01 +/- 0.01    | 0.08 +/- 0.08   
sarcoma                                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.12 +/- 0.04    | 0.1667 +/- 0.0000 | 0.12 +/- 0.04    | 0.0000 +/- 0.0000 | 0.027 +/- 0.006 
spastic paraplegia hereditary              | 0.0000 +/- 0.0000 | 0.05 +/- 0.02    | 0.0182 +/- 0.0000 | 0.0250 +/- 0.0000 | 0.0250 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.020 +/- 0.002 
spinocerebellar ataxias                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.008 +/- 0.008  | 0.006 +/- 0.006  | 0.007 +/- 0.007  | 0.01 +/- 0.01    | 0.02 +/- 0.02    | 0.01 +/- 0.01    | 0.0000 +/- 0.0000 | 0.02 +/- 0.02   
spinocerebellar degenerations              | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.008 +/- 0.008  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
spondylarthropathies                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.02 +/- 0.02    | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.02 +/- 0.02   
tauopathies                                | 0.004 +/- 0.004  | 0.005 +/- 0.005  | 0.003 +/- 0.003  | 0.004 +/- 0.004  | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.003 +/- 0.003 
uveal diseases                             | 0.02 +/- 0.02    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.009 +/- 0.009  | 0.01 +/- 0.01    | 0.02 +/- 0.02    | 0.008 +/- 0.008  | 0.0000 +/- 0.0000
varicose veins                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
vasculitis                                 | 0.03 +/- 0.03    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.042 +/- 0.005  | 0.052 +/- 0.004  | 0.028 +/- 0.002  | 0.036 +/- 0.006  | 0.0556 +/- 0.0000 | 0.01 +/- 0.01    | 0.01 +/- 0.01   


AP@300 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
adrenal gland diseases                     | 0.010 +/- 0.010  | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.006 +/- 0.006  | 0.005 +/- 0.005  | 0.003 +/- 0.003  | 0.005 +/- 0.005 
alzheimer disease                          | 0.0008 +/- 0.0008 | 0.007 +/- 0.007  | 0.007 +/- 0.006  | 0.006 +/- 0.006  | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0005 +/- 0.0005 | 0.003 +/- 0.003  | 0.009 +/- 0.009 
amino acid metabolism inborn errors        | 0.012 +/- 0.006  | 0.031 +/- 0.006  | 0.08 +/- 0.02    | 0.08 +/- 0.01    | 0.08 +/- 0.01    | 0.08 +/- 0.01    | 0.09 +/- 0.02    | 0.11 +/- 0.01    | 0.019 +/- 0.004  | 0.0677 +/- 0.0004
amyotrophic lateral sclerosis              | 0.1 +/- 0.1      | 0.0005 +/- 0.0005 | 0.001 +/- 0.001  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0005 +/- 0.0005 | 0.0010 +/- 0.0003 | 0.002 +/- 0.002  | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
anemia aplastic                            | 0.051 +/- 0.009  | 0.03 +/- 0.02    | 0.11 +/- 0.08    | 0.01 +/- 0.01    | 0.01 +/- 0.01    | 0.022 +/- 0.009  | 0.04 +/- 0.03    | 0.03 +/- 0.02    | 0.1 +/- 0.1      | 0.09 +/- 0.06   
anemia hemolytic                           | 0.0304 +/- 0.0008 | 0.008 +/- 0.002  | 0.04 +/- 0.01    | 0.005 +/- 0.002  | 0.006 +/- 0.002  | 0.04 +/- 0.03    | 0.07 +/- 0.05    | 0.08 +/- 0.04    | 0.12 +/- 0.09    | 0.04 +/- 0.01   
aneurysm                                   | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.002 +/- 0.002  | 0.006 +/- 0.006  | 0.002 +/- 0.002  | 0.005 +/- 0.005  | 0.003 +/- 0.003 
arrhythmias cardiac                        | 0.00123 +/- 0.00009 | 0.00116 +/- 0.00006 | 0.0159 +/- 0.0000 | 0.01422 +/- 0.00006 | 0.01421 +/- 0.00007 | 0.0127 +/- 0.0003 | 0.013 +/- 0.001  | 0.01432 +/- 0.00004 | 0.0024 +/- 0.0001 | 0.019 +/- 0.001 
arterial occlusive diseases                | 0.00042 +/- 0.00008 | 0.0002 +/- 0.0002 | 0.0004 +/- 0.0004 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0006 +/- 0.0006 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0006 +/- 0.0006
arteriosclerosis                           | 0.002 +/- 0.002  | 0.0009 +/- 0.0009 | 0.003 +/- 0.002  | 0.0011 +/- 0.0005 | 0.0013 +/- 0.0006 | 0.004 +/- 0.002  | 0.001 +/- 0.001  | 0.016 +/- 0.008  | 0.006 +/- 0.006  | 0.003 +/- 0.001 
arthritis rheumatoid                       | 0.028 +/- 0.006  | 0.0000 +/- 0.0000 | 0.025 +/- 0.009  | 0.014 +/- 0.005  | 0.014 +/- 0.006  | 0.007 +/- 0.001  | 0.017 +/- 0.004  | 0.009 +/- 0.007  | 0.03 +/- 0.02    | 0.04 +/- 0.01   
asthma                                     | 0.04 +/- 0.02    | 0.01 +/- 0.01    | 0.013 +/- 0.005  | 0.006 +/- 0.002  | 0.006 +/- 0.003  | 0.009 +/- 0.004  | 0.010 +/- 0.004  | 0.02 +/- 0.01    | 0.050 +/- 0.009  | 0.009 +/- 0.003 
basal ganglia diseases                     | 0.05 +/- 0.05    | 0.0002 +/- 0.0002 | 0.008 +/- 0.008  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0003 +/- 0.0003 | 0.001 +/- 0.001  | 0.0003 +/- 0.0003 | 0.05 +/- 0.05    | 0.007 +/- 0.007 
behcet syndrome                            | 0.04 +/- 0.02    | 0.0006 +/- 0.0006 | 0.0067 +/- 0.0003 | 0.039 +/- 0.002  | 0.052 +/- 0.004  | 0.040 +/- 0.006  | 0.0468 +/- 0.0001 | 0.075 +/- 0.002  | 0.029 +/- 0.001  | 0.02 +/- 0.02   
bile duct diseases                         | 0.0000 +/- 0.0000 | 0.0003 +/- 0.0003 | 0.004 +/- 0.004  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.002 +/- 0.002  | 0.004 +/- 0.004  | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.007 +/- 0.007 
blood coagulation disorders                | 0.14 +/- 0.01    | 0.14 +/- 0.02    | 0.23 +/- 0.04    | 0.14 +/- 0.02    | 0.13 +/- 0.02    | 0.150 +/- 0.010  | 0.153 +/- 0.005  | 0.17 +/- 0.02    | 0.18 +/- 0.02    | 0.21 +/- 0.04   
blood platelet disorders                   | 0.10 +/- 0.09    | 0.011 +/- 0.003  | 0.14 +/- 0.04    | 0.10 +/- 0.08    | 0.10 +/- 0.08    | 0.11 +/- 0.06    | 0.13 +/- 0.05    | 0.15 +/- 0.02    | 0.1 +/- 0.1      | 0.12 +/- 0.06   
breast neoplasms                           | 0.019 +/- 0.002  | 0.006 +/- 0.001  | 0.07 +/- 0.06    | 0.002 +/- 0.002  | 0.001 +/- 0.001  | 0.005 +/- 0.003  | 0.006 +/- 0.003  | 0.004 +/- 0.003  | 0.07 +/- 0.02    | 0.02 +/- 0.01   
carbohydrate metabolism inborn errors      | 0.005 +/- 0.001  | 0.0039 +/- 0.0005 | 0.0113 +/- 0.0009 | 0.0030 +/- 0.0002 | 0.0031 +/- 0.0002 | 0.008 +/- 0.005  | 0.03 +/- 0.03    | 0.013 +/- 0.003  | 0.0106 +/- 0.0006 | 0.022 +/- 0.001 
carcinoma renal cell                       | 0.0007 +/- 0.0007 | 0.001 +/- 0.001  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0004 +/- 0.0004 | 0.0007 +/- 0.0007 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cardiomyopathies                           | 0.015 +/- 0.005  | 0.008 +/- 0.003  | 0.019 +/- 0.007  | 0.008 +/- 0.002  | 0.011 +/- 0.005  | 0.0169 +/- 0.0003 | 0.018 +/- 0.003  | 0.027 +/- 0.007  | 0.016 +/- 0.004  | 0.026 +/- 0.006 
cardiomyopathy hypertrophic                | 0.005 +/- 0.002  | 0.03 +/- 0.02    | 0.06 +/- 0.02    | 0.040 +/- 0.006  | 0.06 +/- 0.01    | 0.024 +/- 0.009  | 0.03 +/- 0.01    | 0.07 +/- 0.05    | 0.00435 +/- 0.00009 | 0.07 +/- 0.04   
celiac disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0005 +/- 0.0005 | 0.0005 +/- 0.0005 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0003 +/- 0.0003 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cerebellar ataxia                          | 0.0004 +/- 0.0004 | 0.001 +/- 0.001  | 0.006 +/- 0.006  | 0.006 +/- 0.003  | 0.008 +/- 0.005  | 0.02 +/- 0.01    | 0.03 +/- 0.02    | 0.02 +/- 0.01    | 0.0004 +/- 0.0004 | 0.02 +/- 0.01   
cerebrovascular disorders                  | 0.0020 +/- 0.0008 | 0.0000 +/- 0.0000 | 0.0004 +/- 0.0004 | 0.0003 +/- 0.0003 | 0.0003 +/- 0.0003 | 0.0002 +/- 0.0002 | 0.001 +/- 0.001  | 0.0005 +/- 0.0005 | 0.0002 +/- 0.0002 | 0.0006 +/- 0.0006
charcot-marie-tooth disease                | 0.0006 +/- 0.0006 | 0.001 +/- 0.001  | 0.006 +/- 0.005  | 0.004 +/- 0.004  | 0.004 +/- 0.004  | 0.009 +/- 0.009  | 0.008 +/- 0.006  | 0.008 +/- 0.008  | 0.00091 +/- 0.00003 | 0.004 +/- 0.003 
colitis ulcerative                         | 0.0000 +/- 0.0000 | 0.009 +/- 0.009  | 0.004 +/- 0.003  | 0.005 +/- 0.004  | 0.005 +/- 0.004  | 0.00542 +/- 0.00008 | 0.008 +/- 0.004  | 0.0052 +/- 0.0004 | 0.0002 +/- 0.0002 | 0.004 +/- 0.002 
colorectal neoplasms                       | 0.03 +/- 0.01    | 0.0006 +/- 0.0006 | 0.02 +/- 0.01    | 0.009 +/- 0.006  | 0.008 +/- 0.006  | 0.0064108 +/- 0.0000003 | 0.014 +/- 0.005  | 0.0063 +/- 0.0005 | 0.015 +/- 0.006  | 0.022 +/- 0.009 
coronary artery disease                    | 0.0002 +/- 0.0002 | 0.001 +/- 0.001  | 0.001 +/- 0.001  | 0.0004 +/- 0.0004 | 0.0005 +/- 0.0005 | 0.003 +/- 0.003  | 0.003 +/- 0.002  | 0.01 +/- 0.01    | 0.0006 +/- 0.0006 | 0.001 +/- 0.001 
crohn disease                              | 0.0005 +/- 0.0005 | 0.00188 +/- 0.00010 | 0.00647 +/- 0.00007 | 0.010 +/- 0.002  | 0.010 +/- 0.002  | 0.0050 +/- 0.0003 | 0.0079 +/- 0.0005 | 0.0592 +/- 0.0004 | 0.001 +/- 0.001  | 0.010 +/- 0.002 
death sudden                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
diabetes mellitus type 2                   | 0.003 +/- 0.003  | 0.0004 +/- 0.0004 | 0.003 +/- 0.003  | 0.002 +/- 0.002  | 0.003 +/- 0.002  | 0.002 +/- 0.002  | 0.002 +/- 0.002  | 0.004 +/- 0.004  | 0.003 +/- 0.003  | 0.004 +/- 0.004 
dwarfism                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0003 +/- 0.0003 | 0.007 +/- 0.007  | 0.007 +/- 0.007  | 0.001 +/- 0.001  | 0.0008 +/- 0.0002 | 0.001 +/- 0.001  | 0.0008 +/- 0.0008 | 0.003 +/- 0.002 
esophageal diseases                        | 0.0000 +/- 0.0000 | 0.0005 +/- 0.0005 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
exophthalmos                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
glomerulonephritis                         | 0.001 +/- 0.001  | 0.0000 +/- 0.0000 | 0.0007 +/- 0.0007 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.002 +/- 0.002  | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.0006 +/- 0.0006
gout                                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0006 +/- 0.0006 | 0.0000 +/- 0.0000
graves disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
head and neck neoplasms                    | 0.004 +/- 0.004  | 0.0006 +/- 0.0006 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0009 +/- 0.0009 | 0.0005 +/- 0.0005 | 0.002 +/- 0.002 
hypothalamic diseases                      | 0.1 +/- 0.1      | 0.014 +/- 0.003  | 0.03 +/- 0.03    | 0.011 +/- 0.005  | 0.011 +/- 0.005  | 0.012 +/- 0.010  | 0.03 +/- 0.02    | 0.01 +/- 0.01    | 0.1 +/- 0.1      | 0.04 +/- 0.04   
leukemia b-cell                            | 0.0015 +/- 0.0005 | 0.002 +/- 0.002  | 0.002 +/- 0.002  | 0.001 +/- 0.001  | 0.001 +/- 0.001  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.001 +/- 0.001  | 0.0000 +/- 0.0000
leukemia myeloid                           | 0.027 +/- 0.003  | 0.00034 +/- 0.00003 | 0.0073 +/- 0.0002 | 0.00117 +/- 0.00004 | 0.00118 +/- 0.00002 | 0.0018 +/- 0.0002 | 0.0010 +/- 0.0002 | 0.0021 +/- 0.0002 | 0.030 +/- 0.003  | 0.0060 +/- 0.0003
lipid metabolism disorders                 | 0.015 +/- 0.001  | 0.02 +/- 0.02    | 0.016 +/- 0.001  | 0.00807 +/- 0.00004 | 0.0089 +/- 0.0003 | 0.0060 +/- 0.0003 | 0.010 +/- 0.001  | 0.0119 +/- 0.0002 | 0.0179 +/- 0.0009 | 0.0208 +/- 0.0005
liver cirrhosis                            | 0.005 +/- 0.005  | 0.011 +/- 0.003  | 0.050 +/- 0.008  | 0.0417 +/- 0.0000 | 0.049 +/- 0.007  | 0.039 +/- 0.005  | 0.039 +/- 0.006  | 0.1676 +/- 0.0009 | 0.04 +/- 0.04    | 0.0556 +/- 0.0000
liver cirrhosis biliary                    | 0.005 +/- 0.005  | 0.012 +/- 0.003  | 0.049 +/- 0.007  | 0.0417 +/- 0.0000 | 0.049 +/- 0.007  | 0.037 +/- 0.004  | 0.049 +/- 0.007  | 0.1667 +/- 0.0000 | 0.04 +/- 0.04    | 0.0556 +/- 0.0000
lung diseases obstructive                  | 0.06 +/- 0.05    | 0.01 +/- 0.01    | 0.00548 +/- 0.00005 | 0.0026 +/- 0.0010 | 0.0023 +/- 0.0009 | 0.003 +/- 0.001  | 0.0051 +/- 0.0005 | 0.004 +/- 0.002  | 0.05404 +/- 0.00004 | 0.0049 +/- 0.0002
lupus erythematosus                        | 0.0010 +/- 0.0010 | 0.0003 +/- 0.0003 | 0.0002 +/- 0.0002 | 0.0002 +/- 0.0002 | 0.0004 +/- 0.0004 | 0.0007 +/- 0.0003 | 0.0003 +/- 0.0003 | 0.0006 +/- 0.0004 | 0.002 +/- 0.002  | 0.0004 +/- 0.0004
lymphoma                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0009 +/- 0.0009 | 0.001 +/- 0.001  | 0.001 +/- 0.001  | 0.0006 +/- 0.0006 | 0.0006 +/- 0.0006 | 0.0007 +/- 0.0007 | 0.001 +/- 0.001 
lysosomal storage diseases                 | 0.010 +/- 0.003  | 0.006 +/- 0.003  | 0.018 +/- 0.008  | 0.005 +/- 0.004  | 0.006 +/- 0.004  | 0.010 +/- 0.002  | 0.011 +/- 0.001  | 0.017 +/- 0.005  | 0.014 +/- 0.008  | 0.04 +/- 0.01   
macular degeneration                       | 0.005 +/- 0.001  | 0.046 +/- 0.005  | 0.0065 +/- 0.0007 | 0.0049 +/- 0.0005 | 0.0053 +/- 0.0003 | 0.0024 +/- 0.0008 | 0.0022 +/- 0.0006 | 0.0048 +/- 0.0005 | 0.04 +/- 0.01    | 0.008 +/- 0.002 
metabolic syndrome x                       | 0.004 +/- 0.004  | 0.006 +/- 0.006  | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.03 +/- 0.03   
motor neuron disease                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.001  | 0.004 +/- 0.003  | 0.004 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0006 +/- 0.0001
multiple sclerosis                         | 0.001 +/- 0.001  | 0.00027 +/- 0.00006 | 0.0003 +/- 0.0003 | 0.0014 +/- 0.0005 | 0.0014 +/- 0.0005 | 0.0007 +/- 0.0004 | 0.0010 +/- 0.0008 | 0.0012 +/- 0.0010 | 0.0006 +/- 0.0004 | 0.001 +/- 0.001 
muscular dystrophies                       | 0.003 +/- 0.003  | 0.03 +/- 0.03    | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.02 +/- 0.01    | 0.03 +/- 0.03    | 0.03 +/- 0.03   
mycobacterium infections                   | 0.016 +/- 0.002  | 0.0005 +/- 0.0005 | 0.006 +/- 0.002  | 0.0010 +/- 0.0010 | 0.0010 +/- 0.0010 | 0.007 +/- 0.004  | 0.010 +/- 0.005  | 0.007 +/- 0.004  | 0.006 +/- 0.006  | 0.009 +/- 0.004 
myeloproliferative disorders               | 0.06 +/- 0.02    | 0.0027 +/- 0.0004 | 0.0119 +/- 0.0005 | 0.00147 +/- 0.00007 | 0.00147 +/- 0.00007 | 0.018 +/- 0.001  | 0.025 +/- 0.004  | 0.018 +/- 0.001  | 0.05 +/- 0.01    | 0.007 +/- 0.004 
nutritional and metabolic diseases         | 0.004 +/- 0.001  | 0.0016 +/- 0.0004 | 0.008 +/- 0.002  | 0.006 +/- 0.004  | 0.007 +/- 0.005  | 0.006 +/- 0.003  | 0.007 +/- 0.003  | 0.02 +/- 0.01    | 0.008 +/- 0.004  | 0.009 +/- 0.001 
peroxisomal disorders                      | 0.31 +/- 0.10    | 0.2 +/- 0.1      | 0.30 +/- 0.10    | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.16 +/- 0.08    | 0.25 +/- 0.08    | 0.28 +/- 0.03    | 0.464 +/- 0.003  | 0.3 +/- 0.1     
psoriasis                                  | 0.01 +/- 0.01    | 0.00260 +/- 0.00005 | 0.007 +/- 0.003  | 0.007 +/- 0.005  | 0.008 +/- 0.006  | 0.003 +/- 0.002  | 0.006 +/- 0.003  | 0.04 +/- 0.04    | 0.0087 +/- 0.0004 | 0.006 +/- 0.003 
purine-pyrimidine metabolism inborn errors | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0005 +/- 0.0005 | 0.0005 +/- 0.0005 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
renal tubular transport inborn errors      | 0.011 +/- 0.006  | 0.08 +/- 0.07    | 0.08 +/- 0.08    | 0.09 +/- 0.07    | 0.09 +/- 0.08    | 0.10 +/- 0.08    | 0.10 +/- 0.08    | 0.2 +/- 0.1      | 0.03 +/- 0.02    | 0.09 +/- 0.07   
sarcoma                                    | 0.0000 +/- 0.0000 | 0.000657 +/- 0.000001 | 0.0057 +/- 0.0005 | 0.009 +/- 0.003  | 0.009 +/- 0.003  | 0.13 +/- 0.04    | 0.1667 +/- 0.0000 | 0.13 +/- 0.04    | 0.001 +/- 0.001  | 0.028 +/- 0.006 
spastic paraplegia hereditary              | 0.0000 +/- 0.0000 | 0.05 +/- 0.02    | 0.0182 +/- 0.0000 | 0.0250 +/- 0.0000 | 0.0250 +/- 0.0000 | 0.0052 +/- 0.0003 | 0.0050 +/- 0.0004 | 0.0048 +/- 0.0002 | 0.0063 +/- 0.0004 | 0.02217 +/- 0.00005
